조사일,조사지역명,조사지역코드,조사시장명,조사시장코드,품목명,품목코드,유통단계,유통단계 구분,유통단계,품목명,상품코드,조사가격,전날조사가격,규격,등급,
20220101,제주,3900,동문시장,257,일반,1,소비자가격,0,1,멜론,7,10000,0,1개,상(1등급),10000
20220101,제주,3904,C-유통,257,일반,1,소비자가격,0,1,멜론,7,19800,0,1개,상(1등급),19800
20220101,제주,3900,동문시장,420,수입산,1,소비자가격,2,1,파인애플,7,6660,0,1개,상(1등급),6660
20220101,제주,3904,C-유통,420,수입산,1,소비자가격,2,2,파인애플,7,5980,0,1개,중(2등급),5980
20220101,제주,3900,동문시장,424,수입,1,소비자가격,0,1,레몬,7,10000,0,10개,상(1등급),10000
20220101,제주,3904,C-유통,424,수입,1,소비자가격,0,1,레몬,7,9800,0,10개,상(1등급),9800
20220101,제주,3900,동문시장,246,대파,1,소비자가격,0,1,파,7,3000,0,1KG,상(1등급),3000
20220101,제주,3904,C-유통,246,대파,1,소비자가격,0,1,파,7,3100,0,1KG,상(1등급),3100
20220101,제주,3900,동문시장,316,일반,1,소비자가격,0,1,팽이버섯,7,500,0,100G,상(1등급),5000
20220101,제주,3904,C-유통,316,일반,1,소비자가격,0,1,팽이버섯,7,470,0,100G,상(1등급),4700
20220101,제주,3900,동문시장,141,백태(국산),1,소비자가격,1,1,콩,7,4510,0,500G,상(1등급),9020
20220101,제주,3900,동문시장,141,백태(국산),1,소비자가격,1,2,콩,7,3630,0,500G,중(2등급),7260
20220101,제주,3900,동문시장,223,다다기계통,1,소비자가격,2,1,오이,7,10000,0,10개,상(1등급),5000
20220101,제주,3904,C-유통,223,다다기계통,1,소비자가격,2,1,오이,7,11960,0,10개,상(1등급),5980
20220101,제주,3900,동문시장,112,일반찹쌀,1,소비자가격,1,1,찹쌀,7,4160,0,1KG,상(1등급),4160
20220101,제주,3904,C-유통,112,일반찹쌀,1,소비자가격,1,1,찹쌀,7,6980,0,1KG,상(1등급),6980
20220101,제주,3900,동문시장,248,일반,1,소비자가격,0,1,고춧가루,7,34900,0,1KG,상(1등급),34900
20220101,제주,3904,C-유통,248,일반,1,소비자가격,0,1,고춧가루,7,38400,0,1KG,상(1등급),38400
20220101,제주,3900,동문시장,248,일반,1,소비자가격,1,1,고춧가루,7,12400,0,1KG,상(1등급),12400
20220101,제주,3904,C-유통,248,일반,1,소비자가격,1,1,고춧가루,7,11800,0,1KG,상(1등급),11800
20220101,제주,3904,C-유통,412,신고,1,소비자가격,1,2,배,7,27800,0,10개,중(2등급),5560
20220101,제주,3900,동문시장,312,국산백색,1,소비자가격,1,1,참깨,7,16200,0,500G,상(1등급),32400
20220101,제주,3904,C-유통,314,국산,1,소비자가격,1,1,땅콩,7,3330,0,100G,상(1등급),33300
20220101,제주,3900,동문시장,426,수입,1,소비자가격,0,2,건포도,7,640,0,100G,중(2등급),6400
20220101,제주,3904,C-유통,426,수입,1,소비자가격,0,2,건포도,7,1260,0,100G,중(2등급),12600
20220101,제주,3904,C-유통,427,수입,1,소비자가격,0,2,건블루베리,7,3090,0,100G,중(2등급),30900
20220101,제주,3904,C-유통,428,수입,1,소비자가격,0,1,망고,7,5490,0,1개,상(1등급),5490
20220101,제주,3904,C-유통,223,취청,1,소비자가격,3,1,오이,7,11450,0,10개,상(1등급),5725
20220101,제주,3900,동문시장,225,일반,1,소비자가격,0,1,토마토,7,4830,0,1KG,상(1등급),4830
20220101,제주,3904,C-유통,225,일반,1,소비자가격,0,2,토마토,7,7420,0,1KG,중(2등급),7420
